reference,gene,annotation,Strain,Genomospecies,Clade
PSS_7772B_00339,groS,10 kDa chaperonin,PSS_7772B,GS7,C3
PSS_7772B_00359,pflB,Formate acetyltransferase 1,PSS_7772B,GS7,C3
PSS_7772B_00406,rpsT,30S ribosomal protein S20,PSS_7772B,GS7,C3
PSS_7772B_00407,lepA,Elongation factor 4,PSS_7772B,GS7,C3
PSS_7772B_00417,thrS,Threonine--tRNA ligase,PSS_7772B,GS7,C3
PSS_7772B_00486,ldh2,L-lactate dehydrogenase 2,PSS_7772B,GS7,C3
PSS_7772B_00510,pyk,Pyruvate kinase,PSS_7772B,GS7,C3
PSS_7772B_00534,guaA,GMP synthase [glutamine-hydrolyzing],PSS_7772B,GS7,C3
PSS_7772B_00566,rpsG,30S ribosomal protein S7,PSS_7772B,GS7,C3
PSS_7772B_00567,fusA,Elongation factor G,PSS_7772B,GS7,C3
PSS_7772B_00610,dapL,LL-diaminopimelate aminotransferase,PSS_7772B,GS7,C3
PSS_7772B_00611,tal,Transaldolase,PSS_7772B,GS7,C3
PSS_7772B_00612,tkt,Transketolase,PSS_7772B,GS7,C3
PSS_7772B_00623,rpsH,30S ribosomal protein S8,PSS_7772B,GS7,C3
PSS_7772B_00632,infA,Translation initiation factor IF-1,PSS_7772B,GS7,C3
PSS_7772B_00633,rpsM,30S ribosomal protein S13,PSS_7772B,GS7,C3
PSS_7772B_00635,rpoA,DNA-directed RNA polymerase subunit alpha,PSS_7772B,GS7,C3
PSS_7772B_00644,glyQS,Glycine--tRNA ligase,PSS_7772B,GS7,C3
PSS_7772B_00667,rpmC,50S ribosomal protein L29,PSS_7772B,GS7,C3
PSS_7772B_00668,rplP,50S ribosomal protein L16,PSS_7772B,GS7,C3
PSS_7772B_00673,rplW,50S ribosomal protein L23,PSS_7772B,GS7,C3
PSS_7772B_00675,rplC,50S ribosomal protein L3,PSS_7772B,GS7,C3
PSS_7772B_00695,pgm,Phosphoglucomutase,PSS_7772B,GS7,C3
PSS_7772B_00697,rpiA,Ribose-5-phosphate isomerase A,PSS_7772B,GS7,C3
PSS_7772B_00706,pgk,Phosphoglycerate kinase,PSS_7772B,GS7,C3
PSS_7772B_00718,efp,Elongation factor P,PSS_7772B,GS7,C3
PSS_7772B_00721,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",PSS_7772B,GS7,C3
PSS_7772B_00748,atpA,ATP synthase subunit alpha,PSS_7772B,GS7,C3
PSS_7772B_00749,atpG,ATP synthase gamma chain,PSS_7772B,GS7,C3
PSS_7772B_00750,atpD_2,ATP synthase subunit beta,PSS_7772B,GS7,C3
PSS_7772B_00789,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,PSS_7772B,GS7,C3
PSS_7772B_00793,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",PSS_7772B,GS7,C3
PSS_7772B_00798,ppa,Inorganic pyrophosphatase,PSS_7772B,GS7,C3
PSS_7772B_00803,valS,Valine--tRNA ligase,PSS_7772B,GS7,C3
PSS_7772B_00821,group_2483,putative transcriptional regulatory protein,PSS_7772B,GS7,C3
PSS_7772B_00832,der,GTPase Der,PSS_7772B,GS7,C3
PSS_7772B_00844,ppgK,Polyphosphate glucokinase,PSS_7772B,GS7,C3
PSS_7772B_00854,rpsB,30S ribosomal protein S2,PSS_7772B,GS7,C3
PSS_7772B_00857,frr,Ribosome-recycling factor,PSS_7772B,GS7,C3
PSS_7772B_00935,nrdD,Anaerobic ribonucleoside-triphosphate reductase,PSS_7772B,GS7,C3
PSS_7772B_00953,gap,Glyceraldehyde-3-phosphate dehydrogenase,PSS_7772B,GS7,C3
PSS_7772B_00957,rpmI,50S ribosomal protein L35,PSS_7772B,GS7,C3
PSS_7772B_00958,rplT,50S ribosomal protein L20,PSS_7772B,GS7,C3
PSS_7772B_00995,groL1,60 kDa chaperonin 1,PSS_7772B,GS7,C3
PSS_7772B_01007,hup,DNA-binding protein HB1,PSS_7772B,GS7,C3
PSS_7772B_01051,eno,Enolase,PSS_7772B,GS7,C3
PSS_7772B_01065,ychF,Ribosome-binding ATPase YchF,PSS_7772B,GS7,C3
PSS_7772B_01151,rplU,50S ribosomal protein L21,PSS_7772B,GS7,C3
PSS_7772B_01166,rplK,50S ribosomal protein L11,PSS_7772B,GS7,C3
PSS_7772B_01167,rplA,50S ribosomal protein L1,PSS_7772B,GS7,C3
PSS_7772B_01178,rpoB,DNA-directed RNA polymerase subunit beta,PSS_7772B,GS7,C3
PSS_7772B_01195,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,PSS_7772B,GS7,C3
PSS_7772B_01223,pyrG,CTP synthase,PSS_7772B,GS7,C3
UGent_06.41_00009,groS,10 kDa chaperonin,UGent_06.41,GS5,C4
UGent_06.41_00029,rplC,50S ribosomal protein L3,UGent_06.41,GS5,C4
UGent_06.41_00031,rplW,50S ribosomal protein L23,UGent_06.41,GS5,C4
UGent_06.41_00036,rplP,50S ribosomal protein L16,UGent_06.41,GS5,C4
UGent_06.41_00037,rpmC,50S ribosomal protein L29,UGent_06.41,GS5,C4
UGent_06.41_00043,rpsH,30S ribosomal protein S8,UGent_06.41,GS5,C4
UGent_06.41_00051,infA,Translation initiation factor IF-1,UGent_06.41,GS5,C4
UGent_06.41_00052,rpsM,30S ribosomal protein S13,UGent_06.41,GS5,C4
UGent_06.41_00054,rpoA,DNA-directed RNA polymerase subunit alpha,UGent_06.41,GS5,C4
UGent_06.41_00067,rpiA,Ribose-5-phosphate isomerase A,UGent_06.41,GS5,C4
UGent_06.41_00069,pgm,Phosphoglucomutase,UGent_06.41,GS5,C4
UGent_06.41_00112,pgi,Glucose-6-phosphate isomerase,UGent_06.41,GS5,C4
UGent_06.41_00117,rplS,50S ribosomal protein L19,UGent_06.41,GS5,C4
UGent_06.41_00126,serS,Serine--tRNA ligase,UGent_06.41,GS5,C4
UGent_06.41_00147,pyrG,CTP synthase,UGent_06.41,GS5,C4
UGent_06.41_00158,lysS1,Lysine--tRNA ligase 1,UGent_06.41,GS5,C4
UGent_06.41_00208,glyQS,Glycine--tRNA ligase,UGent_06.41,GS5,C4
UGent_06.41_00225,gap,Glyceraldehyde-3-phosphate dehydrogenase,UGent_06.41,GS5,C4
UGent_06.41_00229,rpmI,50S ribosomal protein L35,UGent_06.41,GS5,C4
UGent_06.41_00230,rplT,50S ribosomal protein L20,UGent_06.41,GS5,C4
UGent_06.41_00378,ldh2,L-lactate dehydrogenase 2,UGent_06.41,GS5,C4
UGent_06.41_00401,pyk,Pyruvate kinase,UGent_06.41,GS5,C4
UGent_06.41_00422,guaA,GMP synthase [glutamine-hydrolyzing],UGent_06.41,GS5,C4
UGent_06.41_00439,ychF,Ribosome-binding ATPase YchF,UGent_06.41,GS5,C4
UGent_06.41_00452,eno,Enolase,UGent_06.41,GS5,C4
UGent_06.41_00497,hup,DNA-binding protein HB1,UGent_06.41,GS5,C4
UGent_06.41_00509,groL1,60 kDa chaperonin 1,UGent_06.41,GS5,C4
UGent_06.41_00571,frr,Ribosome-recycling factor,UGent_06.41,GS5,C4
UGent_06.41_00574,rpsB,30S ribosomal protein S2,UGent_06.41,GS5,C4
UGent_06.41_00584,ppgK,Polyphosphate glucokinase,UGent_06.41,GS5,C4
UGent_06.41_00593,der,GTPase Der,UGent_06.41,GS5,C4
UGent_06.41_00604,group_2483,putative transcriptional regulatory protein,UGent_06.41,GS5,C4
UGent_06.41_00606,thrS,Threonine--tRNA ligase,UGent_06.41,GS5,C4
UGent_06.41_00617,lepA,Elongation factor 4,UGent_06.41,GS5,C4
UGent_06.41_00618,rpsT,30S ribosomal protein S20,UGent_06.41,GS5,C4
UGent_06.41_00642,pflB,Formate acetyltransferase 1,UGent_06.41,GS5,C4
UGent_06.41_00655,tkt,Transketolase,UGent_06.41,GS5,C4
UGent_06.41_00656,tal,Transaldolase,UGent_06.41,GS5,C4
UGent_06.41_00663,pgk,Phosphoglycerate kinase,UGent_06.41,GS5,C4
UGent_06.41_00675,efp,Elongation factor P,UGent_06.41,GS5,C4
UGent_06.41_00679,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",UGent_06.41,GS5,C4
UGent_06.41_00692,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,UGent_06.41,GS5,C4
UGent_06.41_00760,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,UGent_06.41,GS5,C4
UGent_06.41_00772,prfB,Peptide chain release factor 2,UGent_06.41,GS5,C4
UGent_06.41_00773,map,Methionine aminopeptidase 1,UGent_06.41,GS5,C4
UGent_06.41_00784,guaB,Inosine-5'-monophosphate dehydrogenase,UGent_06.41,GS5,C4
UGent_06.41_00789,rpmE,50S ribosomal protein L31,UGent_06.41,GS5,C4
UGent_06.41_00796,fusA,Elongation factor G,UGent_06.41,GS5,C4
UGent_06.41_00797,rpsG,30S ribosomal protein S7,UGent_06.41,GS5,C4
UGent_06.41_00824,nrdD,Anaerobic ribonucleoside-triphosphate reductase,UGent_06.41,GS5,C4
UGent_06.41_00857,rpoB,DNA-directed RNA polymerase subunit beta,UGent_06.41,GS5,C4
UGent_06.41_00894,rplA,50S ribosomal protein L1,UGent_06.41,GS5,C4
UGent_06.41_00895,rplK,50S ribosomal protein L11,UGent_06.41,GS5,C4
UGent_06.41_00910,rplU,50S ribosomal protein L21,UGent_06.41,GS5,C4
UGent_06.41_00992,dapL,LL-diaminopimelate aminotransferase,UGent_06.41,GS5,C4
UGent_06.41_01042,ppc,Phosphoenolpyruvate carboxylase,UGent_06.41,GS5,C4
UGent_06.41_01103,upp,Uracil phosphoribosyltransferase,UGent_06.41,GS5,C4
UGent_06.41_01120,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,UGent_06.41,GS5,C4
UGent_06.41_01121,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,UGent_06.41,GS5,C4
UGent_06.41_01122,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,UGent_06.41,GS5,C4
UGent_06.41_01162,atpA,ATP synthase subunit alpha,UGent_06.41,GS5,C4
UGent_06.41_01163,atpG,ATP synthase gamma chain,UGent_06.41,GS5,C4
UGent_06.41_01164,atpD_2,ATP synthase subunit beta,UGent_06.41,GS5,C4
UGent_06.41_01188,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,UGent_06.41,GS5,C4
UGent_06.41_01192,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",UGent_06.41,GS5,C4
UGent_06.41_01197,ppa,Inorganic pyrophosphatase,UGent_06.41,GS5,C4
UGent_06.41_01202,valS,Valine--tRNA ligase,UGent_06.41,GS5,C4
UGent_06.41_01224,rpsO,30S ribosomal protein S15,UGent_06.41,GS5,C4
UGent_06.41_01236,pstB1,Phosphate import ATP-binding protein PstB 1,UGent_06.41,GS5,C4
UGent_06.41_01238,rplJ,50S ribosomal protein L10,UGent_06.41,GS5,C4
UGent_18.01_00044,ppc,Phosphoenolpyruvate carboxylase,UGent_18.01,GS4,C2
UGent_18.01_00103,upp,Uracil phosphoribosyltransferase,UGent_18.01,GS4,C2
UGent_18.01_00140,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,UGent_18.01,GS4,C2
UGent_18.01_00141,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,UGent_18.01,GS4,C2
UGent_18.01_00142,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,UGent_18.01,GS4,C2
UGent_18.01_00165,atpA,ATP synthase subunit alpha,UGent_18.01,GS4,C2
UGent_18.01_00166,atpG,ATP synthase gamma chain,UGent_18.01,GS4,C2
UGent_18.01_00167,atpD_2,ATP synthase subunit beta,UGent_18.01,GS4,C2
UGent_18.01_00192,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,UGent_18.01,GS4,C2
UGent_18.01_00196,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",UGent_18.01,GS4,C2
UGent_18.01_00201,ppa,Inorganic pyrophosphatase,UGent_18.01,GS4,C2
UGent_18.01_00206,valS,Valine--tRNA ligase,UGent_18.01,GS4,C2
UGent_18.01_00223,rpsO,30S ribosomal protein S15,UGent_18.01,GS4,C2
UGent_18.01_00236,pstB1,Phosphate import ATP-binding protein PstB 1,UGent_18.01,GS4,C2
UGent_18.01_00238,rplJ,50S ribosomal protein L10,UGent_18.01,GS4,C2
UGent_18.01_00240,rplK,50S ribosomal protein L11,UGent_18.01,GS4,C2
UGent_18.01_00241,rplA,50S ribosomal protein L1,UGent_18.01,GS4,C2
UGent_18.01_00252,groS,10 kDa chaperonin,UGent_18.01,GS4,C2
UGent_18.01_00272,rplC,50S ribosomal protein L3,UGent_18.01,GS4,C2
UGent_18.01_00274,rplW,50S ribosomal protein L23,UGent_18.01,GS4,C2
UGent_18.01_00279,rplP,50S ribosomal protein L16,UGent_18.01,GS4,C2
UGent_18.01_00280,rpmC,50S ribosomal protein L29,UGent_18.01,GS4,C2
UGent_18.01_00286,rpsH,30S ribosomal protein S8,UGent_18.01,GS4,C2
UGent_18.01_00294,infA,Translation initiation factor IF-1,UGent_18.01,GS4,C2
UGent_18.01_00295,rpsM,30S ribosomal protein S13,UGent_18.01,GS4,C2
UGent_18.01_00297,rpoA,DNA-directed RNA polymerase subunit alpha,UGent_18.01,GS4,C2
UGent_18.01_00317,rpiA,Ribose-5-phosphate isomerase A,UGent_18.01,GS4,C2
UGent_18.01_00319,pgm,Phosphoglucomutase,UGent_18.01,GS4,C2
UGent_18.01_00332,pgi,Glucose-6-phosphate isomerase,UGent_18.01,GS4,C2
UGent_18.01_00336,rplS,50S ribosomal protein L19,UGent_18.01,GS4,C2
UGent_18.01_00341,serS,Serine--tRNA ligase,UGent_18.01,GS4,C2
UGent_18.01_00448,pyrG,CTP synthase,UGent_18.01,GS4,C2
UGent_18.01_00559,pflB,Formate acetyltransferase 1,UGent_18.01,GS4,C2
UGent_18.01_00583,thrS,Threonine--tRNA ligase,UGent_18.01,GS4,C2
UGent_18.01_00597,ychF,Ribosome-binding ATPase YchF,UGent_18.01,GS4,C2
UGent_18.01_00610,eno,Enolase,UGent_18.01,GS4,C2
UGent_18.01_00633,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,UGent_18.01,GS4,C2
UGent_18.01_00644,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",UGent_18.01,GS4,C2
UGent_18.01_00648,efp,Elongation factor P,UGent_18.01,GS4,C2
UGent_18.01_00660,pgk,Phosphoglycerate kinase,UGent_18.01,GS4,C2
UGent_18.01_00676,tal,Transaldolase,UGent_18.01,GS4,C2
UGent_18.01_00677,tkt,Transketolase,UGent_18.01,GS4,C2
UGent_18.01_00683,ppgK,Polyphosphate glucokinase,UGent_18.01,GS4,C2
UGent_18.01_00704,frr,Ribosome-recycling factor,UGent_18.01,GS4,C2
UGent_18.01_00721,rpsB,30S ribosomal protein S2,UGent_18.01,GS4,C2
UGent_18.01_00733,der,GTPase Der,UGent_18.01,GS4,C2
UGent_18.01_00744,group_2483,putative transcriptional regulatory protein,UGent_18.01,GS4,C2
UGent_18.01_00775,groL1,60 kDa chaperonin 1,UGent_18.01,GS4,C2
UGent_18.01_00788,hup,DNA-binding protein HB1,UGent_18.01,GS4,C2
UGent_18.01_00800,lepA,Elongation factor 4,UGent_18.01,GS4,C2
UGent_18.01_00801,rpsT,30S ribosomal protein S20,UGent_18.01,GS4,C2
UGent_18.01_00817,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,UGent_18.01,GS4,C2
UGent_18.01_00832,prfB,Peptide chain release factor 2,UGent_18.01,GS4,C2
UGent_18.01_00833,map,Methionine aminopeptidase 1,UGent_18.01,GS4,C2
UGent_18.01_00843,guaB,Inosine-5'-monophosphate dehydrogenase,UGent_18.01,GS4,C2
UGent_18.01_00848,rpmE,50S ribosomal protein L31,UGent_18.01,GS4,C2
UGent_18.01_00875,pyk,Pyruvate kinase,UGent_18.01,GS4,C2
UGent_18.01_00914,guaA,GMP synthase [glutamine-hydrolyzing],UGent_18.01,GS4,C2
UGent_18.01_00956,lysS1,Lysine--tRNA ligase 1,UGent_18.01,GS4,C2
UGent_18.01_00965,ldh2,L-lactate dehydrogenase 2,UGent_18.01,GS4,C2
UGent_18.01_00981,glyQS,Glycine--tRNA ligase,UGent_18.01,GS4,C2
UGent_18.01_01009,fusA,Elongation factor G,UGent_18.01,GS4,C2
UGent_18.01_01010,rpsG,30S ribosomal protein S7,UGent_18.01,GS4,C2
UGent_18.01_01042,nrdD,Anaerobic ribonucleoside-triphosphate reductase,UGent_18.01,GS4,C2
UGent_18.01_01062,rplT,50S ribosomal protein L20,UGent_18.01,GS4,C2
UGent_18.01_01063,rpmI,50S ribosomal protein L35,UGent_18.01,GS4,C2
UGent_18.01_01066,gap,Glyceraldehyde-3-phosphate dehydrogenase,UGent_18.01,GS4,C2
UGent_18.01_01085,rpoB,DNA-directed RNA polymerase subunit beta,UGent_18.01,GS4,C2
UGent_18.01_01120,rplU,50S ribosomal protein L21,UGent_18.01,GS4,C2
UGent_18.01_01150,dapL,LL-diaminopimelate aminotransferase,UGent_18.01,GS4,C2
UMB1686_00021,rplU,50S ribosomal protein L21,UMB1686,GS8,C3
UMB1686_00029,rplK,50S ribosomal protein L11,UMB1686,GS8,C3
UMB1686_00030,rplA,50S ribosomal protein L1,UMB1686,GS8,C3
UMB1686_00089,nrdD,Anaerobic ribonucleoside-triphosphate reductase,UMB1686,GS8,C3
UMB1686_00115,rpsG,30S ribosomal protein S7,UMB1686,GS8,C3
UMB1686_00116,fusA,Elongation factor G,UMB1686,GS8,C3
UMB1686_00126,serS,Serine--tRNA ligase,UMB1686,GS8,C3
UMB1686_00163,rplS,50S ribosomal protein L19,UMB1686,GS8,C3
UMB1686_00170,rpmE,50S ribosomal protein L31,UMB1686,GS8,C3
UMB1686_00175,guaB,Inosine-5'-monophosphate dehydrogenase,UMB1686,GS8,C3
UMB1686_00184,map,Methionine aminopeptidase 1,UMB1686,GS8,C3
UMB1686_00185,prfB,Peptide chain release factor 2,UMB1686,GS8,C3
UMB1686_00200,pgi,Glucose-6-phosphate isomerase,UMB1686,GS8,C3
UMB1686_00202,pdxS,Pyridoxal 5'-phosphate synthase subunit PdxS,UMB1686,GS8,C3
UMB1686_00267,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,UMB1686,GS8,C3
UMB1686_00278,pyrD_1,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit",UMB1686,GS8,C3
UMB1686_00280,efp,Elongation factor P,UMB1686,GS8,C3
UMB1686_00292,pgk,Phosphoglycerate kinase,UMB1686,GS8,C3
UMB1686_00298,tal,Transaldolase,UMB1686,GS8,C3
UMB1686_00299,tkt,Transketolase,UMB1686,GS8,C3
UMB1686_00312,pflB,Formate acetyltransferase 1,UMB1686,GS8,C3
UMB1686_00335,rpsT,30S ribosomal protein S20,UMB1686,GS8,C3
UMB1686_00336,lepA,Elongation factor 4,UMB1686,GS8,C3
UMB1686_00352,thrS,Threonine--tRNA ligase,UMB1686,GS8,C3
UMB1686_00354,group_2483,putative transcriptional regulatory protein,UMB1686,GS8,C3
UMB1686_00365,der,GTPase Der,UMB1686,GS8,C3
UMB1686_00376,ppgK,Polyphosphate glucokinase,UMB1686,GS8,C3
UMB1686_00386,rpsB,30S ribosomal protein S2,UMB1686,GS8,C3
UMB1686_00389,frr,Ribosome-recycling factor,UMB1686,GS8,C3
UMB1686_00440,groL1,60 kDa chaperonin 1,UMB1686,GS8,C3
UMB1686_00452,hup,DNA-binding protein HB1,UMB1686,GS8,C3
UMB1686_00494,eno,Enolase,UMB1686,GS8,C3
UMB1686_00507,ychF,Ribosome-binding ATPase YchF,UMB1686,GS8,C3
UMB1686_00522,guaA,GMP synthase [glutamine-hydrolyzing],UMB1686,GS8,C3
UMB1686_00541,pyk,Pyruvate kinase,UMB1686,GS8,C3
UMB1686_00564,ldh2,L-lactate dehydrogenase 2,UMB1686,GS8,C3
UMB1686_00640,rplT,50S ribosomal protein L20,UMB1686,GS8,C3
UMB1686_00641,rpmI,50S ribosomal protein L35,UMB1686,GS8,C3
UMB1686_00645,gap,Glyceraldehyde-3-phosphate dehydrogenase,UMB1686,GS8,C3
UMB1686_00662,glyQS,Glycine--tRNA ligase,UMB1686,GS8,C3
UMB1686_00712,lysS1,Lysine--tRNA ligase 1,UMB1686,GS8,C3
UMB1686_00729,pyrG,CTP synthase,UMB1686,GS8,C3
UMB1686_00770,rpoB,DNA-directed RNA polymerase subunit beta,UMB1686,GS8,C3
UMB1686_00782,pgm,Phosphoglucomutase,UMB1686,GS8,C3
UMB1686_00784,rpiA,Ribose-5-phosphate isomerase A,UMB1686,GS8,C3
UMB1686_00798,rpoA,DNA-directed RNA polymerase subunit alpha,UMB1686,GS8,C3
UMB1686_00800,rpsM,30S ribosomal protein S13,UMB1686,GS8,C3
UMB1686_00801,infA,Translation initiation factor IF-1,UMB1686,GS8,C3
UMB1686_00809,rpsH,30S ribosomal protein S8,UMB1686,GS8,C3
UMB1686_00815,rpmC,50S ribosomal protein L29,UMB1686,GS8,C3
UMB1686_00816,rplP,50S ribosomal protein L16,UMB1686,GS8,C3
UMB1686_00821,rplW,50S ribosomal protein L23,UMB1686,GS8,C3
UMB1686_00823,rplC,50S ribosomal protein L3,UMB1686,GS8,C3
UMB1686_00843,groS,10 kDa chaperonin,UMB1686,GS8,C3
UMB1686_00854,rplJ,50S ribosomal protein L10,UMB1686,GS8,C3
UMB1686_00856,pstB1,Phosphate import ATP-binding protein PstB 1,UMB1686,GS8,C3
UMB1686_00869,rpsO,30S ribosomal protein S15,UMB1686,GS8,C3
UMB1686_00893,valS,Valine--tRNA ligase,UMB1686,GS8,C3
UMB1686_00898,ppa,Inorganic pyrophosphatase,UMB1686,GS8,C3
UMB1686_00903,gnd,"6-phosphogluconate dehydrogenase, decarboxylating",UMB1686,GS8,C3
UMB1686_00907,nrdF2,Ribonucleoside-diphosphate reductase subunit beta nrdF2,UMB1686,GS8,C3
UMB1686_00937,atpD_2,ATP synthase subunit beta,UMB1686,GS8,C3
UMB1686_00938,atpG,ATP synthase gamma chain,UMB1686,GS8,C3
UMB1686_00939,atpA,ATP synthase subunit alpha,UMB1686,GS8,C3
UMB1686_00978,gatB,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,UMB1686,GS8,C3
UMB1686_00979,gatA,Glutamyl-tRNA(Gln) amidotransferase subunit A,UMB1686,GS8,C3
UMB1686_00980,gatC,Glutamyl-tRNA(Gln) amidotransferase subunit C,UMB1686,GS8,C3
UMB1686_01000,upp,Uracil phosphoribosyltransferase,UMB1686,GS8,C3
UMB1686_01064,ppc,Phosphoenolpyruvate carboxylase,UMB1686,GS8,C3
UMB1686_01114,dapL,LL-diaminopimelate aminotransferase,UMB1686,GS8,C3
